Table 1: List of Projects Studied in Transition Cycle #1 / Phase I
Project ID,Project Name / POI,State[2],Status,Transmission Owner[3],Maxiumum Facility Output (MFO in MW),MW Energy (MWE),MW Capacity (MWC),Project Type,Resource Type
AE2-313,Carson-Rawlings 500 kV,Virginia,Active,Virginia Electric and Power Company,314.0,314.0,188.4,Generation Interconnection,Solar
AE2-321,Belvidere-Marengo 138 kV,Illinois,Active,Commonwealth Edison Company,100.0,100.0,67.0,Generation Interconnection,Solar
AE2-325,Valley 138 kV,Michigan,Active,American Electric Power,152.2,52.2,31.32,Generation Interconnection,Storage
AE2-341,Sandwich-Plano 138 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,100.6,Generation Interconnection,Solar
AF1-030,Sandwich-Plano 138 kV,Illinois,Active,Commonwealth Edison Company,250.0,100.0,66.9,Generation Interconnection,Solar
AF1-048,Belvidere-Marengo,Illinois,Active,Commonwealth Edison Company,152.2,52.2,31.32,Generation Interconnection,Storage
AF1-088,Sullivan 345 kV,Indiana,Active,American Electric Power,1000.0,1000.0,1000.0,Merchant Transmission,None
AF1-099,Moshannon-Milesburg 230 kV III,Pennsylvania,Active,Keystone Appalachian Transmission Company,126.5,126.5,75.9,Generation Interconnection,Solar; Storage
AF1-100,Shawville-Moshannon 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,250.0,250.0,150.0,Generation Interconnection,Solar; Storage
AF1-123,Oceana 230 kV,Virginia,Active,Virginia Electric and Power Company,880.0,880.0,267.5,Generation Interconnection,Offshore Wind
AF1-124,Oceana 230 kV,Virginia,Active,Virginia Electric and Power Company,880.0,880.0,267.5,Generation Interconnection,Offshore Wind
AF1-125,Oceana 230 kV,Virginia,Active,Virginia Electric and Power Company,880.0,880.0,267.5,Generation Interconnection,Offshore Wind
AF1-128,Chesterfield 230 kV,Virginia,Active,Virginia Electric and Power Company,569.0,569.0,569.0,Generation Interconnection,Natural Gas
AF1-142,Moshannon-Milesburg 230 kV IV,Pennsylvania,Active,Keystone Appalachian Transmission Company,202.4,202.4,121.44,Generation Interconnection,Solar; Storage
AF1-152,Swamp 230 kV,North Carolina,Active,Virginia Electric and Power Company,50.0,50.0,30.0,Generation Interconnection,Solar
AF1-161,Valley 138 kV,Michigan,Active,American Electric Power,50.0,50.0,25.0,Generation Interconnection,Storage
AF1-176,Corey 138 kV,Michigan,Active,American Electric Power,300.0,300.0,155.684,Generation Interconnection,Solar; Storage
AF1-200,Plano 345 kV,Illinois,Active,Commonwealth Edison Company,2100.0,2100.0,2035.0,Merchant Transmission,None
AF1-201,Hayes-White Marsh 115 kV,Virginia,Active,Virginia Electric and Power Company,150.0,150.0,90.0,Generation Interconnection,Solar; Storage
AF1-204,Eugene 345 kV,Indiana,Active,American Electric Power,255.0,255.0,63.75,Generation Interconnection,Wind
AF1-221,College Corner-Drewersburg 138 kV,Indiana,Active,American Electric Power,180.0,180.0,138.4,Generation Interconnection,Solar
AF1-233,Flemingsburg – Spurlock 138kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,225.0,225.0,150.6,Generation Interconnection,Solar; Storage
AF1-238,Sherman Ave - West Vineland 69 kV,New Jersey,Active,Atlantic City Electric,77.7,77.7,31.0,Generation Interconnection,Storage
AF1-240,Timblin 34.5 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,20.0,20.0,12.0,Generation Interconnection,Solar
AF1-252,Kincaid-Pana,Illinois,Active,Commonwealth Edison Company,262.4,62.4,62.4,Generation Interconnection,Storage
AF1-253,Kincaid-Pana,Illinois,Active,Commonwealth Edison Company,305.6,43.2,43.2,Generation Interconnection,Storage
AF1-256,Flemingsburg-Spurlock 138 kV,Kentucky,Active,East Kentucky Power Cooperative Inc.,80.0,80.0,48.0,Generation Interconnection,Solar
AF1-266,Clubhouse-Sapony 230 kV,Virginia,Active,Virginia Electric and Power Company,223.5,74.5,74.5,Generation Interconnection,Storage
AF1-276,Lewis Run-Pierce Brook 230 kV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,100.0,100.0,67.0,Generation Interconnection,Solar
